Sample,Sample location,Sample Date,Surface Chla all,Surface Phaeo all,Bottom Chla all,Bottom Phaeo all,surface chla <20 um,Surface Phaeo <20 um,Bottom Chla <20 um,Bottom Phaeo <20 um,,Sample Date,surface chla all,Surface Phaeo all,Bottom Chla all,Bottom Phaeo all,surface chla <20 um,Surface Phaeo <20 um,Bottom Chla <20 um,Bottom Phaeo <20 um,,,,,,,,,,,,,,,,,
031500,N. Bay sta. 2,15-Mar-00,5.13,0.96,4.83,1.54,1.35,0.79,2.09,1.16,,15-Mar-00,11.26,0.96,9.10,1.54,2.15,0.92,2.37,1.16,,,,,,,,,,,,,,,,,
032000,N. Bay sta. 2,20-Mar-00,6.97,1.42,5.94,1.16,2.53,1.05,2.52,0.81,,20-Mar-00,15.29,1.42,11.18,1.16,4.02,1.22,2.86,0.81,,,,,,,,,,,,,,,,,
032700,N. Bay sta. 2,27-Mar-00,3.75,1.19,4.50,1.50,2.70,0.94,2.92,1.15,,27-Mar-00,8.24,1.19,8.48,1.50,4.30,1.09,3.31,1.15,,,,,,,,,,,,,,,,,
040300,N. Bay sta. 2,03-Apr-00,2.29,1.36,1.76,1.39,0.46,1.02,0.72,1.20,,03-Apr-00,5.03,1.36,3.32,1.39,0.74,1.18,0.82,1.20,,,,,,,,,,,,,,,,,
041200,N. Bay sta. 2,12-Apr-00,9.78,1.77,2.76,1.65,3.86,1.56,1.37,1.25,,12-Apr-00,21.45,1.77,5.19,1.65,6.14,1.81,1.55,1.25,,,,,,,,,,,,,,,,,
041700,N. Bay sta. 2,17-Apr-00,1.64,1.32,2.18,1.62,0.98,1.01,1.43,1.25,,17-Apr-00,3.60,1.32,4.10,1.62,1.56,1.17,1.63,1.25,,,,,,,,,,,,,,,,,
042400,N. Bay sta. 2,24-Apr-00,2.37,1.44,1.85,1.49,0.67,2.23,0.56,1.41,,24-Apr-00,5.19,1.44,3.49,1.49,1.07,2.58,0.64,1.41,,,,,,,,,,,,,,,,,
050100,N. Bay sta. 2,01-May-00,7.47,1.73,3.14,1.87,3.13,1.41,2.03,1.44,,01-May-00,16.39,1.73,5.91,1.87,4.98,1.63,2.30,1.44,,,,,,,,,,,,,,,,,
051000,N. Bay sta. 2,10-May-00,2.01,1.14,1.74,1.09,1.02,1.00,1.52,1.13,,10-May-00,4.40,1.14,3.27,1.09,1.63,1.15,1.73,1.13,,,,,,,,,,,,,,,,,
051500,N. Bay sta. 2,15-May-00,4.63,1.14,5.37,1.47,2.08,0.99,2.69,1.41,,15-May-00,10.15,1.14,10.12,1.47,3.30,1.15,3.05,1.41,,,,,,,,,,,,,,,,,
052200,N. Bay sta. 2,22-May-00,3.87,2.49,3.68,1.50,4.22,1.44,1.88,1.26,,22-May-00,8.50,2.49,6.92,1.50,6.70,1.66,2.13,1.26,,,,,,,,,,,,,,,,,
053100,N. Bay sta. 2,31-May-00,4.21,1.53,2.90,1.55,2.67,1.28,2.39,1.17,,31-May-00,9.23,1.53,5.46,1.55,4.24,1.48,2.71,1.17,,,,,,,,,,,,,,,,,
060500,N. Bay sta. 2,05-Jun-00,3.42,1.16,3.71,0.90,2.90,0.96,2.58,1.07,,05-Jun-00,7.52,1.16,6.99,0.90,4.61,1.11,2.93,1.07,,,,,,,,,,,,,,,,,
061400,N. Bay sta. 2,14-Jun-00,14.58,3.46,1.78,1.44,10.51,1.33,2.52,1.34,,14-Jun-00,31.99,3.46,3.35,1.44,16.71,1.54,2.86,1.34,,,,,,,,,,,,,,,,,
061900,N. Bay sta. 2,19-Jun-00,4.31,1.87,1.37,1.45,2.50,1.52,0.69,1.15,,19-Jun-00,9.45,1.87,2.58,1.45,3.97,1.76,0.78,1.15,,,,,,,,,,,,,,,,,
062600,N. Bay sta. 2,26-Jun-00,3.94,1.60,2.64,1.76,1.64,0.88,1.75,1.30,,26-Jun-00,8.65,1.60,4.96,1.76,2.60,1.02,1.99,1.30,,,,,,,,,,,,,,,,,
070600,N. Bay sta. 2,06-Jul-00,3.65,1.74,4.25,2.23,2.94,1.64,1.96,1.69,,06-Jul-00,8.02,1.74,8.01,2.23,4.67,1.90,2.22,1.69,,,,,,,,,,,,,,,,,
071300,N. Bay sta. 2,13-Jul-00,3.44,1.41,3.03,1.84,2.65,1.16,1.62,1.35,,13-Jul-00,7.56,1.41,5.71,1.84,4.21,1.34,1.84,1.35,,,,,,,,,,,,,,,,,
071700,N. Bay sta. 2,17-Jul-00,7.31,2.04,6.45,2.15,4.29,1.91,2.97,1.79,,17-Jul-00,16.05,2.04,12.15,2.15,6.82,2.21,3.36,1.79,,,,,,,,,,,,,,,,,
072400,N. Bay sta. 2,24-Jul-00,4.45,1.79,3.48,1.82,3.85,1.72,3.08,1.81,,24-Jul-00,9.76,1.79,6.55,1.82,6.11,1.99,3.50,1.81,,,,,,,,,,,,,,,,,
073100,N. Bay sta. 2,31-Jul-00,2.26,2.14,2.35,2.49,2.82,1.94,2.14,2.34,,31-Jul-00,4.97,2.14,4.43,2.49,4.48,2.24,2.43,2.34,,,,,,,,,,,,,,,,,
080700,N. Bay sta. 2,07-Aug-00,9.07,3.61,2.37,2.38,5.93,3.55,2.14,2.01,,07-Aug-00,19.90,3.61,4.47,2.38,9.42,4.11,2.43,2.01,,,,,,,,,,,,,,,,,
081600,N. Bay sta. 2,16-Aug-00,3.60,4.37,1.18,2.40,3.23,4.72,1.10,2.44,,16-Aug-00,7.90,4.37,2.23,2.40,5.13,5.46,1.25,2.44,,,,,,,,,,,,,,,,,
082100,N. Bay sta. 2,21-Aug-00,9.26,5.51,8.00,4.53,6.80,5.25,7.76,4.93,,21-Aug-00,20.32,5.51,15.06,4.53,10.81,6.07,8.80,4.93,,,,,,,,,,,,,,,,,
082800,N. Bay sta. 2,28-Aug-00,2.38,2.19,2.21,2.57,2.42,1.90,1.88,2.22,,28-Aug-00,5.22,2.19,4.16,2.57,3.85,2.20,2.13,2.22,,,,,,,,,,,,,,,,,
090400,N. Bay sta. 2,04-Sep-00,4.77,4.26,2.68,3.14,4.60,3.98,2.48,3.11,,04-Sep-00,10.47,4.26,5.05,3.14,7.31,4.61,2.81,3.11,,,,,,,,,,,,,,,,,
091100,N. Bay sta. 2,11-Sep-00,10.87,5.11,6.62,3.44,9.14,4.59,4.29,2.81,,11-Sep-00,23.86,5.11,12.46,3.44,14.52,5.31,4.87,2.81,,,,,,,,,,,,,,,,,
091800,N. Bay sta. 2,18-Sep-00,5.32,2.90,1.82,12.33,2.58,2.23,2.85,2.53,,18-Sep-00,11.67,2.90,3.42,12.33,4.11,2.58,3.23,2.53,,,,,,,,,,,,,,,,,
092500,N. Bay sta. 2,25-Sep-00,5.39,2.76,5.03,3.15,2.59,2.35,3.24,2.61,,25-Sep-00,11.82,2.76,9.47,3.15,4.11,2.72,3.67,2.61,,,,,,,,,,,,,,,,,
100200,N. Bay sta. 2,02-Oct-00,4.51,1.83,11.05,2.12,2.22,1.63,1.92,1.57,,02-Oct-00,9.89,1.83,20.81,2.12,3.52,1.88,2.18,1.57,,,,,,,,,,,,,,,,,
101100,N. Bay sta. 2,11-Oct-00,6.57,2.39,2.40,2.24,1.48,1.52,1.47,1.61,,11-Oct-00,14.41,2.39,4.52,2.24,2.36,1.76,1.66,1.61,,,,,,,,,,,,,,,,,
101800,N. Bay sta. 2,18-Oct-00,2.36,1.45,2.02,1.56,1.68,1.18,1.60,1.39,,18-Oct-00,5.19,1.45,3.81,1.56,2.67,1.37,1.81,1.39,,,,,,,,,,,,,,,,,
102300,N. Bay sta. 2,23-Oct-00,3.01,1.30,3.36,1.58,2.15,1.02,2.34,1.27,,23-Oct-00,6.60,1.30,6.32,1.58,3.41,1.18,2.65,1.27,,,,,,,,,,,,,,,,,
103000,N. Bay sta. 2,30-Oct-00,1.86,0.90,1.95,1.00,2.56,1.00,1.67,1.06,,30-Oct-00,4.07,0.90,3.67,1.00,4.07,1.16,1.90,1.06,,,,,,,,,,,,,,,,,
110600,N. Bay sta. 2,06-Nov-00,2.52,0.75,3.07,1.09,2.53,0.93,3.10,1.04,,06-Nov-00,5.53,0.75,5.77,1.09,4.02,1.08,3.51,1.04,,,,,,,,,,,,,,,,,
111300,N. Bay sta. 2,13-Nov-00,1.13,0.68,1.07,0.68,1.81,0.71,1.86,0.73,,13-Nov-00,2.48,0.68,2.02,0.68,2.87,0.82,2.10,0.73,,,,,,,,,,,,,,,,,
112000,N. Bay sta. 2,20-Nov-00,2.92,0.79,2.66,0.87,2.78,0.80,1.96,0.65,,20-Nov-00,6.41,0.79,5.01,0.87,4.42,0.92,2.23,0.65,,,,,,,,,,,,,,,,,
112700,N. Bay sta. 2,27-Nov-00,3.10,0.98,1.18,0.73,2.29,0.96,1.26,0.73,,27-Nov-00,6.79,0.98,2.22,0.73,3.63,1.11,1.43,0.73,,,,,,,,,,,,,,,,,
120400,N. Bay sta. 2,04-Dec-00,0.67,0.68,0.71,0.79,0.45,0.59,0.49,0.64,,04-Dec-00,1.46,0.68,1.34,0.79,0.71,0.68,0.56,0.64,,,,,,,,,,,,,,,,,
121100,N. Bay sta. 2,11-Dec-00,2.52,0.81,0.60,0.59,1.69,0.78,0.53,0.53,,11-Dec-00,5.53,0.81,1.13,0.59,2.69,0.91,0.60,0.53,,,,,,,,,,,,,,,,,
121800,N. Bay sta. 2,18-Dec-00,2.03,1.45,2.60,1.61,1.66,1.09,1.62,1.41,,18-Dec-00,4.46,1.45,4.89,1.61,2.65,1.26,1.84,1.41,,,,,,,,,,,,,,,,,
122800,N. Bay sta. 2,28-Dec-00,1.44,0.74,2.07,0.81,1.17,0.73,0.97,0.65,,28-Dec-00,3.16,0.74,3.89,0.81,1.86,0.84,1.10,0.65,,,,,,,,,,,,,,,,,
010301,N. Bay sta. 2,03-Jan-01,0.72,0.61,1.94,0.73,0.50,0.49,0.81,0.68,,03-Jan-01,1.58,0.61,3.66,0.73,0.79,0.57,0.92,0.68,,,,,,,,,,,,,,,,,
010801,N. Bay sta. 2,08-Jan-01,2.05,0.63,1.73,0.56,0.66,0.56,0.79,0.55,,08-Jan-01,4.50,0.63,3.26,0.56,1.05,0.64,0.89,0.55,,,,,,,,,,,,,,,,,
011501,N. Bay sta. 2,15-Jan-01,2.96,0.41,3.09,0.51,0.51,0.38,0.69,0.49,,15-Jan-01,6.49,0.41,5.81,0.51,0.80,0.44,0.78,0.49,,,,,,,,,,,,,,,,,
012201,N. Bay sta. 2,22-Jan-01,5.71,0.81,4.31,0.80,1.23,0.72,1.07,0.54,,22-Jan-01,12.53,0.81,8.11,0.80,1.95,0.83,1.21,0.54,,,,,,,,,,,,,,,,,
012901,N. Bay sta. 2,29-Jan-01,15.45,1.22,17.77,1.05,2.05,0.52,1.83,0.60,,29-Jan-01,33.91,1.22,33.46,1.05,3.26,0.60,2.08,0.60,,,,,,,,,,,,,,,,,
020701,N. Bay sta. 2,07-Feb-01,4.54,1.02,2.13,0.87,1.04,0.85,0.78,0.92,,07-Feb-01,9.97,1.02,4.01,0.87,1.65,0.99,0.89,0.92,,,,,,,,,,,,,,,,,
021201,N. Bay sta. 2,12-Feb-01,0.72,0.62,0.67,0.71,0.63,0.38,0.37,0.63,,12-Feb-01,1.59,0.62,1.27,0.71,1.00,0.44,0.42,0.63,,,,,,,,,,,,,,,,,
021901,N. Bay sta. 2,19-Feb-01,4.94,0.72,6.68,0.62,0.63,0.59,1.10,0.80,,19-Feb-01,10.85,0.72,12.58,0.62,1.00,0.68,1.25,0.80,,,,,,,,,,,,,,,,,
022601,N. Bay sta. 2,26-Feb-01,1.16,0.68,1.86,0.79,0.28,0.53,0.47,0.52,,26-Feb-01,2.54,0.68,3.50,0.79,0.45,0.61,0.53,0.52,,,,,,,,,,,,,,,,,
030801,GSO Dock,08-Mar-01,2.97,1.16,,,0.58,1.01,,,,08-Mar-01,6.52,1.16,,,0.93,1.17,,,,,,,,,,,,,,,,,,,
031401,N. Bay sta. 2,14-Mar-01,0.68,0.67,1.25,0.81,0.43,0.63,0.66,0.69,,14-Mar-01,1.49,0.67,2.35,0.81,0.69,0.73,0.75,0.69,,,,,,,,,,,,,,,,,
031901,N. Bay sta. 2,19-Mar-01,7.89,0.67,3.77,0.90,1.15,0.74,0.89,0.64,,19-Mar-01,17.31,0.67,7.10,0.90,1.82,0.85,1.01,0.64,,,,,,,,,,,,,,,,,
032601,N. Bay sta. 2,26-Mar-01,3.65,0.79,2.11,1.01,0.72,0.73,0.84,0.95,,26-Mar-01,8.02,0.79,3.98,1.01,1.15,0.84,0.95,0.95,,,,,,,,,,,,,,,,,
040901,N. Bay sta. 2,09-Apr-01,13.24,0.91,6.12,0.96,0.79,0.99,1.18,0.90,,09-Apr-01,29.06,0.91,11.53,0.96,1.26,1.15,1.34,0.90,,,,,,,,,,,,,,,,,
042001,N. Bay sta. 2,20-Apr-01,3.58,0.58,4.92,1.49,0.32,0.62,0.46,1.06,,20-Apr-01,7.86,0.58,9.26,1.49,0.50,0.72,0.52,1.06,,,,,,,,,,,,,,,,,
042301,N. Bay sta. 2,23-Apr-01,0.42,0.64,0.88,0.73,0.35,0.94,0.32,0.92,,23-Apr-01,0.93,0.64,1.65,0.73,0.55,1.09,0.36,0.92,,,,,,,,,,,,,,,,,
043001,N. Bay sta. 2,30-Apr-01,1.38,1.32,2.53,1.47,0.62,0.93,0.93,1.18,,30-Apr-01,3.03,1.32,4.76,1.47,0.98,1.07,1.06,1.18,,,,,,,,,,,,,,,,,
050701,N. Bay sta. 2,07-May-01,2.17,1.76,1.55,1.77,1.60,1.60,1.33,1.88,,07-May-01,4.77,1.76,2.91,1.77,2.55,1.85,1.51,1.88,,,,,,,,,,,,,,,,,
051401,N. Bay sta. 2,14-May-01,2.10,1.92,2.71,2.83,2.15,1.94,2.45,2.57,,14-May-01,4.61,1.92,5.11,2.83,3.41,2.24,2.78,2.57,,,,,,,,,,,,,,,,,
052101,N. Bay sta. 2,21-May-01,1.93,1.79,2.43,2.37,2.07,1.79,2.37,2.25,,21-May-01,4.23,1.79,4.58,2.37,3.29,2.07,2.69,2.25,,,,,,,,,,,,,,,,,
052901,N. Bay sta. 2,29-May-01,2.02,2.13,2.22,2.14,1.95,2.10,2.19,2.08,,29-May-01,4.42,2.13,4.18,2.14,3.10,2.42,2.48,2.08,,,,,,,,,,,,,,,,,
061901,N. Bay sta. 2,19-Jun-01,3.86,1.64,2.55,1.80,2.87,1.37,2.61,1.88,,19-Jun-01,8.47,1.64,4.80,1.80,4.56,1.59,2.95,1.88,,,,,,,,,,,,,,,,,
062501,N. Bay sta. 2,25-Jun-01,5.68,3.03,4.17,2.23,4.60,2.53,4.62,2.44,,25-Jun-01,12.46,3.03,7.85,2.23,7.31,2.93,5.23,2.44,,,,,,,,,,,,,,,,,
070201,N. Bay sta. 2,02-Jul-01,7.94,3.34,5.68,2.98,3.66,2.09,2.89,2.13,,02-Jul-01,17.43,3.34,10.69,2.98,5.81,2.41,3.28,2.13,,,,,,,,,,,,,,,,,
070901,N. Bay sta. 2,09-Jul-01,2.78,1.65,1.53,1.54,2.69,1.43,1.13,1.52,,09-Jul-01,6.10,1.65,2.88,1.54,4.27,1.65,1.28,1.52,,,,,,,,,,,,,,,,,
071601,N. Bay sta. 2,16-Jul-01,1.93,1.94,1.75,1.93,2.08,2.27,1.76,1.50,,16-Jul-01,4.22,1.94,3.29,1.93,3.31,2.62,1.99,1.50,,,,,,,,,,,,,,,,,
072301,N. Bay sta. 2,23-Jul-01,6.12,3.28,5.06,3.03,3.57,2.34,3.82,2.71,,23-Jul-01,13.43,3.28,9.53,3.03,5.67,2.71,4.33,2.71,,,,,,,,,,,,,,,,,
